# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\Affiliation Database
# DB Description,Credential Affiliations
# Table,psl_extensions
# Table Description,psl_extensions
# Total Rows in DB,607
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,98f842308ecd3f8294f4be9e56674791

domain,domain__DOMAIN,domain__CATEGORY
mobilapp.gmbh,mobilapp.gmbh,Other
mobile-brownie.com,mobile-brownie.com,Other
mobincube.mobi,mobincube.mobi,Other
modolabs.net,modolabs.net,Other
modoo.at,modoo.at,Other
moneyeasy.jp,moneyeasy.jp,Other
moneyinfo.co.uk,moneyinfo.co.uk,Other
mopage.ch,mopage.ch,Other
moshtare.com,moshtare.com,Other
motivation.cc,motivation.cc,Other
motivationalliance.com,motivationalliance.com,Other
moveabout.no,moveabout.no,Other
moveabout.se,moveabout.se,Other
moveaboutgroup.com,moveaboutgroup.com,Other
movilapp.net,movilapp.net,Other
moxo.com,moxo.com,Other
moxtra.com,moxtra.com,Other
msappproxy.net,msappproxy.net,Other
muvi.com,muvi.com,Other
my.salesforce.com,my.salesforce.com,Other
myappaccess.com,myappaccess.com,Other
myassociation.app,myassociation.app,Other
myatenea.com,myatenea.com,Other
mybluemix.net,mybluemix.net,Other
mycourse.mobi,mycourse.mobi,Other
myebanking.net,myebanking.net,Other
myintranet.com,myintranet.com,Other
mykademy.com,mykademy.com,Other
mymenu.com.sg,mymenu.com.sg,Other
mymobileapp.co,mymobileapp.co,Other
myolsera.com,myolsera.com,Other
mypthub.net,mypthub.net,Other
mytentapp.com,mytentapp.com,Other
napps-solutions.com,napps-solutions.com,Other
navigate.eab.com,navigate.eab.com,Other
netlify.com,netlify.com,Other
netxinvestor.com,netxinvestor.com,Other
nexudus.com,nexudus.com,Other
nomi.cash,nomi.cash,Other
nordvikgo.no,nordvikgo.no,Other
novoed.com,novoed.com,Other
oak.com,oak.com,Other
odilotk.es,odilotk.es,Other
olo.com,olo.com,Other
olx.com,olx.com,Other
onbmc.com,onbmc.com,Other
oncologyoffice.com,oncologyoffice.com,Other
ondagoapp.com,ondagoapp.com,Other
ondemand.com,ondemand.com,Other
onlinegiving.org,onlinegiving.org,Other
onthecity.org,onthecity.org,Other
openapp.link,openapp.link,Other
operations.dynamics.com,operations.dynamics.com,Other
optixapp.com,optixapp.com,Other
osnova.io,osnova.io,Other
ouacom.com,ouacom.com,Other
overdrive.com,overdrive.com,Other
ovosplay.com,ovosplay.com,Other
oznr.com,oznr.com,Other
padam.io,padam.io,Other
padlet.org,padlet.org,Other
pandasuite.io,pandasuite.io,Other
passiogo.com,passiogo.com,Other
pathable.co,pathable.co,Other
pathable.com,pathable.com,Other
patientjourneyapp.com,patientjourneyapp.com,Other
patientrewardshub.com,patientrewardshub.com,Other
pediragora.app,pediragora.app,Other
pedzap.com.br,pedzap.com.br,Other
perfectportal.co.uk,perfectportal.co.uk,Other
perfectportal.com.au,perfectportal.com.au,Other
personatech.com,personatech.com,Other
picomto.com,picomto.com,Other
plah.social,plah.social,Other
plataforma10.com.ar,plataforma10.com.ar,Other
prepleaf.com,prepleaf.com,Other
proboards.com,proboards.com,Other
prod1.sherpaserv.com,prod1.sherpaserv.com,Other
profmarkapp.co.za,profmarkapp.co.za,Other
pronett.co.uk,pronett.co.uk,Other
ptml.in,ptml.in,Other
pugpig.com,pugpig.com,Other
qa.bdh.dev,qa.bdh.dev,Other
qa.gameaccount.com,qa.gameaccount.com,Other
qubistapp.com,qubistapp.com,Other
quip.com,quip.com,Other
quiply.io,quiply.io,Other
quizky.com,quizky.com,Other
read.inkling.com,read.inkling.com,Other
referralapp.co,referralapp.co,Other
relesysapp.net,relesysapp.net,Other
rentmapapp.com,rentmapapp.com,Other
retrieve.com,retrieve.com,Other
returntool.com,returntool.com,Other
revelup.com,revelup.com,Other
revtrak.net,revtrak.net,Other
rikorda.it,rikorda.it,Other
riseup.ai,riseup.ai,Other
roxiit.com,roxiit.com,Other
rsvy.io,rsvy.io,Other
rt.ru,rt.ru,Other
salesforce.com,salesforce.com,Other
salsa.edf.fr,salsa.edf.fr,Other
sarahah.com,sarahah.com,Other
satchelone.com,satchelone.com,Other
schoolonapp.com,schoolonapp.com,Other
schoolunique.com,schoolunique.com,Other
service-now.com,service-now.com,Other
share-platform.de,share-platform.de,Other
sherpaserv.com,sherpaserv.com,Other
showpad.biz,showpad.biz,Other
shp.ee,shp.ee,Other
sightcall.com,sightcall.com,Other
simdif.com,simdif.com,Other
skilynx.com,skilynx.com,Other
smarpshare.com,smarpshare.com,Other
smart321.com,smart321.com,Other
smarthealthclubs.com,smarthealthclubs.com,Other
sng.link,sng.link,Other
socialnetwork.plah.social,socialnetwork.plah.social,Other
solocoo.tv,solocoo.tv,Other
spaces.nexudus.com,spaces.nexudus.com,Other
spayee.com,spayee.com,Other
spontly.com,spontly.com,Other
sportstudio.pt,sportstudio.pt,Other
staging.bdh.dev,staging.bdh.dev,Other
stailer.jp,stailer.jp,Other
streamloan.io,streamloan.io,Other
subspla.sh,subspla.sh,Other
swapcard.com,swapcard.com,Other
t1cloud.com,t1cloud.com,Other
tachanfil.com,tachanfil.com,Other
teachonmars.com,teachonmars.com,Other
tenda.digital,tenda.digital,Other
test.welder.nl,test.welder.nl,Other
testpress.in,testpress.in,Other
thehuddle.nl,thehuddle.nl,Other
thepreachitapp.com,thepreachitapp.com,Other
tiks.com.au,tiks.com.au,Other
topicbox.com,topicbox.com,Other
totalapp.com.br,totalapp.com.br,Other
tpsdb.co,tpsdb.co,Other
transitsherpa.com,transitsherpa.com,Other
tsheets.com,tsheets.com,Other
tumblr.com,tumblr.com,Other
tuya.com,tuya.com,Other
uk.aswatson.net,uk.aswatson.net,Other
unitu.co.uk,unitu.co.uk,Other
univtec.com,univtec.com,Other
unreel.me,unreel.me,Other
upplication.com,upplication.com,Other
uriweb.kr,uriweb.kr,Other
us.auth0.com,us.auth0.com,Other
us10.hana.ondemand.com,us10.hana.ondemand.com,Other
us2.pathable.com,us2.pathable.com,Other
uwkluis.nl,uwkluis.nl,Other
varsity.com,varsity.com,Other
vesti.mobi,vesti.mobi,Other
viadesk.com,viadesk.com,Other
video-recruit.com,video-recruit.com,Other
virtuagym.com,virtuagym.com,Other
virtualnet.site,virtualnet.site,Other
visitor.tiks.com.au,visitor.tiks.com.au,Other
vitelnet.com,vitelnet.com,Other
vitelnet.net,vitelnet.net,Other
voicestorm.com,voicestorm.com,Other
voicethread.com,voicethread.com,Other
vomo.org,vomo.org,Other
vyten.app,vyten.app,Other
wansport.com,wansport.com,Other
web4uapps.com,web4uapps.com,Other
webapp.jotta.us,webapp.jotta.us,Other
webbelanja.com,webbelanja.com,Other
webex.com,webex.com,Other
webitrent.com,webitrent.com,Other
webkul.com,webkul.com,Other
webnode.com,webnode.com,Other
webnode.com.br,webnode.com.br,Other
weebly.com,weebly.com,Other
welder.nl,welder.nl,Other
wellsoft.in,wellsoft.in,Other
whaleapp.com,whaleapp.com,Other
winuall.com,winuall.com,Other
witco.app,witco.app,Other
wooqer.com,wooqer.com,Other
woow.no,woow.no,Other
wordpress.com,wordpress.com,Other
workable.com,workable.com,Other
workreadymobile.com,workreadymobile.com,Other
